father_id,first_name,middle_name,last_name,contact_number,mail_id,occupation,salary
1,Ramesh,,Reddy,981563210,ramesh.reddy@gmail.com,Engineer,10L
2,Ramesh,,Patel,982563211,ramesh.patel@gmail.com,Engineer,10L
3,Ramesh,,Verma,983563212,ramesh.verma@gmail.com,Engineer,10L
4,Ramesh,,Sharma,984563213,ramesh.sharma@gmail.com,Engineer,10L
5,Ramesh,,Iyer,985563214,ramesh.iyer@gmail.com,Engineer,10L
6,Ramesh,,Mehta,986563215,ramesh.mehta@gmail.com,Engineer,10L
7,Ramesh,,Mishra,987563216,ramesh.mishra@gmail.com,Engineer,10L
8,Ramesh,,Nair,988563217,ramesh.nair@gmail.com,Engineer,10L
9,Ramesh,,Joshi,989563218,ramesh.joshi@gmail.com,Engineer,10L
10,Ramesh,,Das,9810563219,ramesh.das@gmail.com,Engineer,10L
