mother_id,first_name,middle_name,last_name,contact_number,mail_id,occupation,salary
1,Lakshmi,,Reddy,971432100,lakshmi.reddy@gmail.com,Teacher,8L
2,Lakshmi,,Patel,972432101,lakshmi.patel@gmail.com,Teacher,8L
3,Lakshmi,,Verma,973432102,lakshmi.verma@gmail.com,Teacher,8L
4,Lakshmi,,Sharma,974432103,lakshmi.sharma@gmail.com,Teacher,8L
5,Lakshmi,,Iyer,975432104,lakshmi.iyer@gmail.com,Teacher,8L
6,Lakshmi,,Mehta,976432105,lakshmi.mehta@gmail.com,Teacher,8L
7,Lakshmi,,Mishra,977432106,lakshmi.mishra@gmail.com,Teacher,8L
8,Lakshmi,,Nair,978432107,lakshmi.nair@gmail.com,Teacher,8L
9,Lakshmi,,Joshi,979432108,lakshmi.joshi@gmail.com,Teacher,8L
10,Lakshmi,,Das,9710432109,lakshmi.das@gmail.com,Teacher,8L
